depth_nm,initial_concentration_cm3,final_concentration_cm3
1148.75,5.2232431072190375e-61,1.081305286171348e-12
1151.25,2.0200423850375822e-61,7.704124617601212e-13
1153.75,7.792826155831568e-62,5.485270698665864e-13
1156.25,2.9987741451540513e-62,3.9027717758826496e-13
1158.7500000000002,1.1510834011885576e-62,2.7749112832046353e-13
1161.25,4.4074164547916865e-63,1.9716346327437385e-13
1163.75,1.6833547543134593e-63,1.3999279769453166e-13
1166.25,6.413298805947656e-64,9.933159241808346e-14
1168.75,2.437258331362856e-64,7.043233460056905e-14
1171.25,9.239232928958265e-65,4.9906864122735355e-14
1173.75,3.4936913332321354e-65,3.533885890304043e-14
1176.25,1.3177936566051153e-65,2.5006294061882308e-14
1178.75,4.958205886425191e-66,1.7682808667295682e-14
1181.2500000000002,1.8608696995655766e-66,1.2495648292391651e-14
1183.75,6.966612198319708e-67,8.824142208052067e-15
1186.25,2.6016062737081357e-67,6.227201136832779e-15
1188.75,9.691160145977646e-68,4.391577048242383e-15
1191.25,3.6010092192070666e-68,3.0949658844232404e-15
1193.75,1.3347101402152016e-68,2.1797139324893355e-15
1196.25,4.93473630508246e-69,1.5340938762256273e-15
1198.75,1.8199321821458494e-69,1.0789807637652415e-15
1201.25,6.695156341377769e-70,7.583772990485466e-16
1203.7500000000002,2.456860537985068e-70,5.326811521878702e-16
1206.25,8.993206183911195e-71,3.7390411626908237e-16
1208.75,3.2836953647903797e-71,2.622796516174065e-16
1211.25,1.195984174987738e-71,1.8385731425685243e-16
1213.75,4.345124955749924e-72,1.2879817596159245e-16
1216.25,1.5746838418895412e-72,9.016781084334338e-17
1218.75,5.692443592486776e-73,6.30822065060333e-17
1221.25,2.0526663566713708e-73,4.410382814557625e-17
1223.75,7.383329604635929e-74,3.081486602959098e-17
1226.2500000000002,2.649112565070403e-74,2.1515893680788043e-17
1228.75,9.481189620622354e-75,1.501322963375364e-17
1231.25,3.3848506890380337e-75,1.0468995669211196e-17
1233.75,1.2053979914854656e-75,7.295458483844087e-18
1236.25,4.281891660895888e-76,5.0806275643335784e-18
1238.75,1.517243025311385e-76,3.535898997860055e-18
1241.25,5.362766509656476e-77,2.459238132643159e-18
1243.75,1.8907621122506273e-77,1.7093070384415105e-18
1246.25,6.649655672685292e-78,1.1872956079379833e-18
1248.7500000000002,2.3327902301405483e-78,8.241712207499656e-19
1251.25,8.16331362283938e-79,5.717370713307083e-19
1253.75,2.8495188850803373e-79,3.9636573410050184e-19
1256.25,9.921808972509377e-80,2.74610547303194e-19
1258.75,3.446072789475813e-80,1.9013418363199258e-19
1261.25,1.1939119407341675e-80,1.315605233203801e-19
